Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
515173,"Alan Moore","Watchmen","0930289234","I'm 65 years old. Everyday the future looks a little bit darker. But the past, even the grimy parts of it, well, it just keeps on getting brighter all the time.","alan-moore, future, memories, past, silk-spectre, watchmen",88,1
36714,"Alan Moore","Watchmen","0930289234","No. Not even in the face of Armageddon. Never compromise.","",472,2
7210637,"Baz Luhrmann","The Great Gatsby","","All the bright precious things fade so fast, and they don't come back.","",181,3
68664,"Adam Smith","An Inquiry into the Nature & Causes of the Wealth of Nations, Vol 1","1602069131","It is not from the benevolence of the butcher, the brewer, or the baker that we expect our dinner, but from their regard to their own self-interest. We address ourselves not to their humanity but to their self-love, and never talk to them of our own necessities, but of their advantages","",232,4
42294,"John Adams","Letters of John Adams, Addressed to His Wife","0554439832","The science of government it is my duty to study, more than all other sciences; the arts of legislation and administration and negotiation ought to take the place of, indeed exclude, in a manner, all other arts. I must study politics and war, that our sons may have liberty to study mathematics and philosophy. Our sons ought to study mathematics and philosophy, geography, natural history and naval architecture, navigation, commerce and agriculture in order to give their children a right to study painting, poetry, music, architecture, statuary, tapestry and porcelain.","books, first-amendment, politics, presidents, scholarship, science, studty",704,5
123011,"F. Scott Fitzgerald","The Great Gatsby","0743273567","And as I sat there brooding on the old, unknown world, I thought of Gatsby’s wonder when he first picked out the green light at the end of Daisy’s dock. He had come a long way to this blue lawn, and his dream must have seemed so close that he could hardly fail to grasp it. He did not know that it was already behind him, somewhere back in that vast obscurity beyond the city, where the dark fields of the republic rolled on under the night.<br/><br/>Gatsby believed in the green light, the orgastic future that year by year recedes before us.  It eluded us then, but that's no matter—to-morrow we will run faster, stretch out our arms farther. . . . And one fine morning——<br/><br/>So we beat on, boats against the current, borne back ceaselessly into the past.","",1311,6
7335878,"Ikkyu","","","Having no destination,<br/>I am never lost.","",60,7
222464,"Hiromu Arakawa","","","Humankind cannot gain anything without first giving something in return. To obtain, something of equal value must be lost. That is alchemy's first law of Equivalent Exchange. In those days, we really believed that to be the world's one, and only, truth. But the world isn't perfect, and the law is incomplete. Equivalent Exchange doesn't encompass everything that goes on here, but I still choose to believe in its principle, that all things do come at a price, that there's an ebb and a flow, a cycle, that the pain we went through did have a reward, and that anyone who's determined and perseveres will get something of value in return, even if it's not what they expected. I don't think of Equivalent Exchange as a law of the world anymore. I think of it as a promise, between my brother and me. A promise that, someday, we'll see each other again.","alphonse-elric",170,8
228560,"Masashi Kishimoto","","","People live their lives bound by what they accept as correct and true. That’s how they define Reality. But what does it mean to be “correct” or “true”? Merely vague concepts… Their Reality may all be a mirage. Can we consider them to simply be living in their own world, shaped by their beliefs?","inspirational, life, perspective",246,9
398593,"Masashi Kishimoto","","","Being hurt inevitably breeds feelings of hatred towards your attacker. But when we hurt others, we have to deal with their hatred for us, and our own feelings of guilt. Knowing what it feels like to be hurt is exactly why we try to be kind to others. That’s what makes us humans.","",256,10
230172,"Masashi Kishimoto","","","In order to survive, we cling to all we know and understand. And label it reality. But knowledge and understanding are ambiguous. That reality could be an illusion. All humans live with the wrong assumptions. Isn't that another way of looking at it? That sharingan how much can you really se?","naruto",166,11
783643,"Masashi Kishimoto","","","In this world, whenever there is light, there are also shadows. As long as the concept of winners exist, there must also be losers. The selfish desire of wanting to maintain peace causes wars and hatred is born to protect love.","hate, love, naruto, peace, war",172,12
926244,"Masashi Kishimoto","","","Everyone lives bound by their own knowledge and awareness. They define that as reality; but knowledge and awareness are vage, and perhaps better called illusions.","illusions, knowledge, naruto",39,13
10783369,"Masashi Kishimoto","","","Those who cannot acknowledge themselves will eventually fail","naruto",3,14
7479287,"Hikigaya Hachiman","","","Everyone is a slave to their past. No matter how much you wish to move forward, the events of last year will bear down on you like the light of the stars as soon as you glance up. Unable to laugh or to banish your past, you carry it ceaselessly in a corner of your heart, waiting for it to resurrect at an inopportune moment.","",24,15
714955,"Yoshiyuki Sadamoto","Neon Genesis Evangelion: 3-in-1 Edition, Vol. 1","1421550792","I'll lock my heart away deeper ..<br/>if I do that ..<br/>I won't have to feel pain outside or inside .. or the fear <br/>I won't have to feel anything at all !","",17,16
10930735,"Hideaki Anno","End of Evangelion","4877281711","Those who hate themselves, cannot love or trust others.","",8,17
152793,"Hideaki Anno","Groundwork of Evangelion Vol.1","4903713008","God knows I'm not perfect, either. I've made tons of stupid mistakes, and later I regretted them. And I've done it over and over again, thousands of times; a cycle of hollow joy and vicious self-hatred. But even so, every time I learned something about myself<br/>-Misato Katsuragi","imperfection, mistakes, sin",211,18
10930737,"Hideaki Anno","End of Evangelion","4877281711","Are you afraid of other people? I know that by keeping others at a distance you avoid a betrayal of your trust, but you must endure the loneliness. Man can never completely erase this sadness, because all men are fundamentally alone. Pain is something man must carry in his heart, and since the heart feels pain so easily, some believe that life is pain.","",10,19
10956764,"Hideaki Anno","End of Evangelion","4877281711","What's wrong with running away from reality if it sucks?!","",7,20
7727240,"Yui Ikari","","","Anywhere can be paradise as long as you have the will to live. After all, you are alive, so you will always have the chance to be happy. As long as the Sun, the Moon, and the Earth exist, everything will be all right.","anime, evangelion",84,21
85403,"Paul Krugman","","","I believe in a relatively equal society, supported by institutions that limit extremes of wealth and poverty. I believe in democracy, civil liberties, and the rule of law. That makes me a liberal, and I’m proud of it.","",159,22
241196,"Paul Krugman","","","The media are desperately afraid of being accused of bias. And that's partly because there's a whole machine out there, an organized attempt to accuse them of bias whenever they say anything that the Right doesn't like. So rather than really try to report things objectively, they settle for being even-handed, which is not the same thing. One of my lines in a column—in which a number of people thought I was insulting them personally—was that if Bush said the Earth was flat, the mainstream media would have stories with the headline: 'Shape of Earth—Views Differ.' Then they'd quote some Democrats saying that it was round.","bias, conservatism, conservatism-in-the-us, democratic-party-united-states, economics, flat-earth, george-w-bush, media, media-bias, politics, united-states",56,23
350882,"J. Michael Straczynski","The Amazing Spider-Man: Civil War","0785122370","Doesn't matter what the press says. Doesn't matter what the politicians or the mobs say. Doesn't matter if the whole country decides that something wrong is something right. <br/><br/>This nation was founded on one principle above all else: The requirement that we stand up for what we believe, no matter the odds or the consequences. When the mob and the press and the whole world tell you to move, your job is to plant yourself like a tree beside the river of truth, and tell the whole world -- ""No, YOU move.","captain-america, right, truth",343,24
94502,"Bill Clinton","","","from Bill Clinton speech- <br/>People are more impressed by the power of our example rather than the example of our power...","2008-democratic-convention, clinton, politics, president, speech",79,25
32450,"Bill Clinton","","","When our memories outweigh our dreams, it is then that we become old.","",67,26
123035,"Bill Clinton","My Life","140003003X","I learned a lot from the stories my uncle, aunts and grandparents told me: that no one is perfect but most people are good; that people can’t be judged by their worst or weakest moments; that harsh judgements can make hypocrites of us all; that a lot of life is just showing up and hanging on; that laughter is often the best, and sometimes the only response to pain.<br/><br/>Perhaps most important, I learned that everyone has a story – of dreams and nightmares, hope and heartache, love and loss, courage and fear, sacrifice and selfishness. All my life I’ve been interested in other people’s stories. I wanted to know them, understand them, feel them. When I grew up into politics, I always felt the main point of my work was to people a chance to have better stories. - Page 15, Paragraph 5, ‘My Life’ by Bill Clinton. –Hard cover version-","inspirational",63,27
146890,"Bill Clinton","","","If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.","",47,28
108098,"Bill Clinton","","","The real differences around the world today are not between Jews and Arabs; Protestants and Catholics; Muslims, Croats, and Serbs. The real differences are between those who embrace peace and those who would destroy it. Between those who look to the future and those who cling to the past. Between those who open their arms and those who are determined to clench their fists.","",37,29
7817561,"J.D. Vance","","","Barack Obama strikes at the heart of our deepest insecurities. He is a good father while many of us aren’t. He wears suits to his job while we wear overalls, if we’re lucky enough to have a job at all. His wife tells us that we shouldn’t be feeding our children certain foods, and we hate her for it—not because we think she’s wrong but because we know she’s right.","",127,30
10554,"C.S. Lewis","The Four Loves","0006280897","Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .","friendship",88162,31
5934,"Maya Angelou","","","I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.","",89383,32
95683,"Madeleine Albright","","","What people have the capacity to choose, they have the ability to change.","change, choice, free-will, freedom",154,33
21623,"Thomas Jefferson","","","Do you want to know who you are? Don't ask. Act! Action will delineate and define you.","inspiration, motivation",3630,34
34445,"J.D. Salinger","The Catcher in the Rye","0316769177","That's the thing about girls. Every time they do something pretty, even if they're not much to look at, or even if they're sort of stupid, you fall in love with them, and then you never know where the hell you are. Girls. Jesus Christ. They can drive you crazy. They really can.","girls, holden",2495,35
41537,"J.D. Salinger","The Catcher in the Rye","0316769177","I used to think she was quite intelligent , in my stupidity.  The reason I did was because she knew quite a lot about the theater and plays and literature and all that stuff.  If somebody knows quite a lot about all those things, it takes you quite a while to find out whether they're really stupid or not.","",471,36
224291,"J.D. Salinger","The Catcher in the Rye","0316769177","Girls with their legs crossed, girls with their legs not crossed, girls with terrific legs, girls with lousy legs, girls that looked like swell girls, girls that looked like they'd be bitches if you knew them. It was really nice sightseeing, if you know what I mean. In a way, it was sort of depressing, too, because you kept wondering what the hell would happen to all of them. When they got out of school and college, I mean. You figured most of them would probably marry dopey guys. Guys that always talk about how many miles they get to a gallon in their goddam cars. Guys that get sore and childish as hell if you beat them at golf, or even just some stupid game like ping-pong. Guys that are very mean. Guys that never read books. Guys that are very boring— But I have to be careful about that. I mean about calling certain guys bores. I don't understand boring guys. I really don't.","holden",155,37
7285500,"J.D. Salinger","The Catcher in the Rye","0316769177","Don't tell anybody anything. If you do, you start missing everybody.""<br/><br/>     - Holden Caulfield<br/>        The Catcher in the Rye","",48,38
170499,"Mustafa Kemal Atatürk","","","My people are going to learn the principles of democracy the dictates of truth and the teachings of science. Superstition must go. Let them worship as they will, every man can follow his own conscience provided it does not interfere with sane reason or bid him act against the liberty of his fellow men.","",179,39
24634,"Noam Chomsky","","","If we don't believe in freedom of expression for people we despise, we don't believe in it at all.","belief, believe, despise, expression, freedom, freedom-of-expression",2158,40
15454,"Noam Chomsky","The Common Good","1878825089","The smart way to keep people passive and obedient is to strictly limit the spectrum of acceptable opinion, but allow very lively debate within that spectrum....","1998",1494,41
432717,"Noam Chomsky","","","I was never aware of any other option but to question everything.","philosophy",838,42
84526,"Noam Chomsky","","","It is the responsibility of intellectuals to speak the truth and expose lies.","",626,43
31015,"Noam Chomsky","","","I think it only makes sense to seek out and identify structures of authority, hierarchy, and domination in every aspect of life, and to challenge them; unless a justification for them can be given, they are illegitimate, and should be dismantled, to increase the scope of human freedom.","authority, challenge, dismantle, domination, freedom, heirarchy, human-freedom, illegitimate-power, justification",532,44
129657,"Noam Chomsky","","","The more you can increase fear of drugs, crime, welfare mothers, immigrants and aliens, the more you control all of the people.","",455,45
379926,"Noam Chomsky","","","How it is we have so much information, but know so little?","",441,46
169410,"Noam Chomsky","","","It is quite possible--overwhelmingly probable, one might guess--that we will always learn more about human life and personality from novels than from scientific psychology","art, human-condition",362,47
